Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Senegal,2005,11009033437.939,4.31023852639633,979.846101520171,4.72087875420317,2.703,11235472.0
Senegal,2010,16121315909.0758,3.39088925336209,1275.88357492357,1.60441579019933,2.803,12635413.0
Senegal,2015,17774766696.1759,6.36704365066983,1218.00613555438,1.06978461964601,6.757,14593331.0
Senegal,2020,24530513037.7518,1.3420737726679,1461.08720350553,1.60273383045899,3.437,16789219.0
Seychelles,2000,654212394.27164,4.25319834931828,8063.65500575169,1.25194515123741,,81131.0
Seychelles,2005,977899381.818182,9.0057617374238,11802.1118276833,0.45864511054863,,82858.0
Seychelles,2010,981616542.328454,4.50513204312067,10934.79494629,-2.11971044632016,,89770.0
Seychelles,2015,1432403352.12944,8.9140088750469,15333.1051727105,-1.00318641871358,,93419.0
Seychelles,2020,1382551751.56908,-11.7398608281732,14041.4754074575,5.23042858538314,,98462.0
Sierra Leone,2000,635866403.776065,6.65272983472759,143.743743239644,3.28114119476479,4.08,4423611.0
Sierra Leone,2005,2545275312.60512,4.35349989393626,462.633324427945,16.6157669515089,3.716,5501712.0
Sierra Leone,2010,4262805966.78755,6.35566595800495,685.039673490948,19.1231180041057,4.413,6222714.0
Sierra Leone,2015,6788352974.78329,-4.36333262093788,964.575980888989,3.61332477392402,4.606,7037655.0
Sierra Leone,2020,6693888876.28565,-1.2533490322766,845.982914284565,13.3213363418963,3.508,7912558.0
Somalia,2000,3412797450.20112,7.11031431136975,386.119274401275,14.6097983166147,18.98,8838713.0
Somalia,2005,4683246454.10048,7.1103143112443,439.979907805478,16.0638020616638,18.997,10644228.0
Somalia,2010,2687807003.73935,6.69435192556303,219.202453852397,-15.3469023050107,19.031,12261756.0
Somalia,2015,6152149099.99942,10.4621881235165,445.583080073396,6.96942788276307,18.597,13806963.0
Somalia,2020,8628393720.00185,-2.75248103928239,518.184778494334,5.36278988409347,19.413,16651191.0
South Africa,2000,151752757215.309,4.20000000067826,3217.84693448467,9.18219141567356,22.714,47159719.0
South Africa,2005,288867217196.534,5.27705197295467,5836.87663325127,5.59700978064043,22.461,49490033.0
South Africa,2010,417363822801.713,3.03973288127956,7973.47195771517,6.12843243160444,24.683,52344051.0
South Africa,2015,346709790458.563,1.32186223678229,6112.27382485974,5.54552812339873,25.149,56723537.0
South Africa,2020,337974655408.055,-6.1689177146757,5580.60383075189,5.3913943350576,29.217,60562381.0
South Sudan,2000,14602072410.9506,5.49341639529945,1498.27034985194,12.9264024311492,12.325,6032267.0
South Sudan,2005,14602072410.9506,5.49341639529945,1498.27034985194,12.9264024311492,12.266,7590143.0
South Sudan,2010,14602072410.9506,5.49341639529945,1498.27034985194,12.9264024311492,12.503,9745953.0
South Sudan,2015,11997800760.2242,-10.7933646271143,1080.14718624765,17.6893321393151,12.485,11107561.0
South Sudan,2020,11997800760.2242,-10.7933646271143,1080.14718624765,17.6893321393151,14.319,10698467.0
Sudan,2000,12257299147.2936,6.34586743997545,362.116882324219,9.8531369204179,15.608,27816745.0
